scenario_index,scenario_id,family,switch_day,method_c_objective,two_stage_gurobi_objective,method_c_prefix_oracle_objective,clairvoyant_gurobi_objective,static_no_replan_objective,prefix_advantage_absolute,prefix_advantage_percent,adaptation_gap_absolute,adaptation_gap_percent,final_advantage_absolute,final_advantage_percent,clairvoyant_gap_percent,two_stage_replanning_gain_percent,method_c_beats_two_stage,method_c_prefix_beats_static_gurobi_prefix,two_stage_proven_optimal,method_c_prefix_oracle_proven_optimal,clairvoyant_proven_optimal,two_stage_runtime_seconds,method_c_prefix_oracle_runtime_seconds,clairvoyant_runtime_seconds,R_retrain_objective,R_retrain_final_advantage_absolute,R_retrain_final_advantage_percent,R_retrain_beats_two_stage,R_retrain_online_training_seconds,R_retrain_inference_runtime_seconds
32,test_032_id_mixed,mixed,16,19724.981693249378,21860.20020107644,21840.510201076442,22395.45901075949,21327.358193240452,-19.68999999999869,-0.09007236813425484,2115.5285078270645,9.686259562392447,-2135.218507827063,-9.767607287155222,11.92419104349292,2.498396674393873,False,False,True,True,True,2.9421911000390537,2.922722099989187,11.478347099968232,,,,,,
33,test_033_id_boost_only,boost_only,9,22379.096895193303,23044.379710055357,23100.178158265437,24085.229177996334,21389.894670142567,55.798448210080096,0.2421347370254127,721.0812630721339,3.1215398345926824,-665.2828148620538,-2.8869634298369045,7.08372866288402,7.734891010109694,False,True,True,True,True,6.2553866999805905,5.652491700020619,11.18900949996896,,,,,,
34,test_034_id_suppress_only,suppress_only,4,15480.270500000002,15555.198750000001,15539.406750000002,15555.198750000001,15555.198750000001,-15.791999999999462,-0.10152232866841036,59.13624999999956,0.3805566773004353,-74.92824999999903,-0.4816926559681471,0.4816926559681471,0.0,False,False,True,True,True,8.07896209997125,8.547592499991879,11.718418800039217,,,,,,
35,test_035_id_concentrated,concentrated,22,15472.606500000002,15555.198750000001,15472.606500000002,15555.198750000001,15555.198750000001,-82.5922499999997,-0.5309623575205021,0.0,0.0,-82.5922499999997,-0.5309623575205021,0.5309623575205021,0.0,False,False,True,True,True,0.4536402000230737,0.45258710003690794,11.87034899997525,,,,,,
36,test_036_id_distributed,distributed,13,15754.202274647512,16130.65189166902,15922.082404243334,16346.93101161378,15660.272131421216,-208.56948742568602,-1.2930009823930655,167.88012959582193,1.0543855089650889,-376.44961702150795,-2.3337532763690256,3.6259328221619107,3.0036499768354665,False,False,True,True,True,3.1634710999787785,3.3887180000310764,12.697144199977629,15892.754156839386,-237.89773482963392,-1.4748178587407288,False,33.5022503389996,0.983548255000187
37,test_037_id_no_shock,no_shock,7,15483.1185,15555.198750000001,15539.406750000002,15555.198750000001,15555.198750000001,-15.791999999999462,-0.10152232866841036,56.288250000001426,0.36222907930511195,-72.08025000000089,-0.4633836645770976,0.4633836645770976,0.0,False,False,True,True,True,9.215758900041692,8.704706499993335,11.808026299986523,,,,,,
38,test_038_id_mixed,mixed,6,23849.412198833168,25746.425770716174,25645.78550560955,26976.33369827074,23182.486094903958,-100.6402651066237,-0.39089023852425886,1796.3733067763824,7.004555607717527,-1897.013571883006,-7.368065722119214,11.591350901913023,11.059813280232397,False,False,True,True,True,9.377635699987877,8.388827299990226,9.989682500017807,,,,,,
39,test_039_id_boost_only,boost_only,21,19382.374756379555,20696.784693970705,20825.207107021568,22355.525693449137,19254.978644220246,128.42241305086281,0.6204945113444325,1442.832350642013,6.928297727015343,-1314.40993759115,-6.350792922796641,13.299400684372221,7.487964938269331,False,True,True,True,True,0.45573870005318895,0.4133004000177607,13.211271999985911,,,,,,
40,test_040_id_suppress_only,suppress_only,8,15026.914926124009,15007.778153617664,15040.63724605276,15056.133246052763,14995.301647052138,32.85909243509559,0.21894708263111431,13.722319928750949,0.09123496368049307,19.13677250634464,0.12751236265930324,0.1940625753721586,0.08320277150262735,True,True,True,True,True,5.418803999957163,7.338538100011647,10.440222800010815,,,,,,
41,test_041_id_concentrated,concentrated,23,15350.743672690212,15925.224204367807,15741.310954367807,16096.252954367805,14253.903783382904,-183.9132499999996,-1.1548550126506714,390.567281677595,2.4811610850570402,-574.4805316775946,-3.6073622845449926,4.631570364799059,11.725352200941021,False,False,True,True,True,0.46517390001099557,0.41433579998556525,14.526976499997545,,,,,,
42,test_042_id_distributed,distributed,18,17941.438580274116,18246.87865497658,18168.681271765392,18417.059925116708,18107.37176128331,-78.19738321118712,-0.42855210849916997,227.24269149127576,1.2507384993561248,-305.4400747024629,-1.6739305416444932,2.5825041932667627,0.7704425331983255,False,False,True,True,True,2.2474024000111967,2.086799599986989,13.409323200001381,,,,,,
43,test_043_id_no_shock,no_shock,9,15483.1185,15555.198750000001,15514.542750000004,15555.198750000001,15555.198750000001,-40.65599999999722,-0.2613659950824943,31.424250000003667,0.20254705862990166,-72.08025000000089,-0.4633836645770976,0.4633836645770976,0.0,False,False,True,True,True,4.278426499979105,4.485331700008828,11.039182300039101,,,,,,
44,test_044_id_mixed,mixed,25,18857.814278382542,19512.34329288288,19462.326680355298,19739.978367445623,18832.21397781043,-50.016612527582765,-0.25633319267105303,604.5124019727555,3.1060644079257624,-654.5290145003382,-3.35443572653356,4.468921255343978,3.6115207477667433,False,False,True,True,True,0.4308483999921009,0.3783384999842383,12.541234300006181,,,,,,
45,test_045_id_boost_only,boost_only,19,16340.947808919806,16607.3286017383,16348.273772780045,16902.266602265576,16008.966247579496,-259.0548289582548,-1.5598825986446692,7.325963860239426,0.04481184963049244,-266.3807928184942,-1.6039954360306448,3.320967575263138,3.7376701587416643,False,False,True,True,True,1.7225818000151776,1.473890700028278,13.46926749998238,16339.726814943097,-267.6017867952032,-1.6113475755949886,False,27.508102693999717,0.878228599999602
