scenario_index,scenario_id,family,switch_day,method,objective,runtime_seconds
33,test_033_id_boost_only,boost_only,9,D_frozen_static_best_of_64,21441.59187412756,1.683263985999929
33,test_033_id_boost_only,boost_only,9,C_rich_generalist_e2e_best_of_64,22379.096895193303,1.1133984980001514
34,test_034_id_suppress_only,suppress_only,4,B_frozen_static_greedy,15476.166500000003,0.12333784900010869
34,test_034_id_suppress_only,suppress_only,4,D_frozen_static_best_of_64,15485.254500000003,1.7612970209997911
34,test_034_id_suppress_only,suppress_only,4,C_rich_generalist_e2e_best_of_64,15480.270500000002,1.2331788909996249
35,test_035_id_concentrated,concentrated,22,B_frozen_static_greedy,15476.166500000003,0.052029552000021795
35,test_035_id_concentrated,concentrated,22,D_frozen_static_best_of_64,15476.166500000003,1.3748366909999277
35,test_035_id_concentrated,concentrated,22,C_rich_generalist_e2e_best_of_64,15472.606500000002,0.8521298519999618
36,test_036_id_distributed,distributed,13,B_frozen_static_greedy,15651.966893931189,0.09035782099999778
36,test_036_id_distributed,distributed,13,D_frozen_static_best_of_64,15731.695699163454,1.5753378439999324
36,test_036_id_distributed,distributed,13,C_rich_generalist_e2e_best_of_64,15754.202274647512,0.9976347669999086
37,test_037_id_no_shock,no_shock,7,B_frozen_static_greedy,15476.166500000003,0.11715706999984832
37,test_037_id_no_shock,no_shock,7,D_frozen_static_best_of_64,15483.1185,1.7718593149998014
37,test_037_id_no_shock,no_shock,7,C_rich_generalist_e2e_best_of_64,15483.1185,1.1688117740000052
38,test_038_id_mixed,mixed,6,B_frozen_static_greedy,23247.195744218337,0.119475968000188
38,test_038_id_mixed,mixed,6,D_frozen_static_best_of_64,23359.663501914838,1.7897245359999943
38,test_038_id_mixed,mixed,6,C_rich_generalist_e2e_best_of_64,23849.412198833168,1.1552982929997597
39,test_039_id_boost_only,boost_only,21,B_frozen_static_greedy,19352.12638918312,0.054616113000065525
39,test_039_id_boost_only,boost_only,21,D_frozen_static_best_of_64,19851.6714054191,1.4380937310002082
39,test_039_id_boost_only,boost_only,21,C_rich_generalist_e2e_best_of_64,19382.374756379555,0.8489888049998626
40,test_040_id_suppress_only,suppress_only,8,B_frozen_static_greedy,15026.914926124009,0.11601256100038881
40,test_040_id_suppress_only,suppress_only,8,D_frozen_static_best_of_64,15038.854632793002,1.7203928539997833
40,test_040_id_suppress_only,suppress_only,8,C_rich_generalist_e2e_best_of_64,15026.914926124009,1.1277062429999205
41,test_041_id_concentrated,concentrated,23,B_frozen_static_greedy,14112.90510640114,0.0462691350003297
41,test_041_id_concentrated,concentrated,23,D_frozen_static_best_of_64,14112.90510640114,1.363153094000154
41,test_041_id_concentrated,concentrated,23,C_rich_generalist_e2e_best_of_64,15350.743672690212,0.7770357469998999
42,test_042_id_distributed,distributed,18,B_frozen_static_greedy,17836.875984601058,0.06737759799989362
42,test_042_id_distributed,distributed,18,D_frozen_static_best_of_64,17922.989589173427,1.4935156490000736
42,test_042_id_distributed,distributed,18,C_rich_generalist_e2e_best_of_64,17941.438580274116,0.9566254850001314
43,test_043_id_no_shock,no_shock,9,B_frozen_static_greedy,15476.166500000003,0.10777997800005323
43,test_043_id_no_shock,no_shock,9,D_frozen_static_best_of_64,15483.1185,1.6592229839998254
43,test_043_id_no_shock,no_shock,9,C_rich_generalist_e2e_best_of_64,15483.1185,1.1171682730000612
44,test_044_id_mixed,mixed,25,B_frozen_static_greedy,18816.165986528296,0.038431781999861414
44,test_044_id_mixed,mixed,25,D_frozen_static_best_of_64,18816.165986528296,1.3459064610001406
44,test_044_id_mixed,mixed,25,C_rich_generalist_e2e_best_of_64,18857.814278382542,0.7468693189998703
45,test_045_id_boost_only,boost_only,19,B_frozen_static_greedy,15750.288839172481,0.06426687700013645
45,test_045_id_boost_only,boost_only,19,D_frozen_static_best_of_64,15750.288839172481,1.4485450760003005
45,test_045_id_boost_only,boost_only,19,C_rich_generalist_e2e_best_of_64,16340.947808919806,0.8774909750000006
46,test_046_id_suppress_only,suppress_only,13,B_frozen_static_greedy,14291.89882198566,0.08635157199978494
46,test_046_id_suppress_only,suppress_only,13,D_frozen_static_best_of_64,14386.40882271197,1.577439680000225
46,test_046_id_suppress_only,suppress_only,13,C_rich_generalist_e2e_best_of_64,14379.281159862168,1.0706653800002641
47,test_047_id_concentrated,concentrated,8,B_frozen_static_greedy,18064.84833269628,0.11629859600043346
47,test_047_id_concentrated,concentrated,8,D_frozen_static_best_of_64,18728.394102644128,1.6653259690001505
47,test_047_id_concentrated,concentrated,8,C_rich_generalist_e2e_best_of_64,20271.22657285452,1.1465972720002355
48,test_048_id_distributed,distributed,4,B_frozen_static_greedy,15783.1251625316,0.1224239570001373
48,test_048_id_distributed,distributed,4,D_frozen_static_best_of_64,16016.504426718871,1.7456674479999492
48,test_048_id_distributed,distributed,4,C_rich_generalist_e2e_best_of_64,16696.833887462955,1.2227229850000185
49,test_049_id_no_shock,no_shock,7,B_frozen_static_greedy,15476.166500000003,0.11600415500015515
49,test_049_id_no_shock,no_shock,7,D_frozen_static_best_of_64,15483.1185,1.7802082690000134
49,test_049_id_no_shock,no_shock,7,C_rich_generalist_e2e_best_of_64,15483.1185,1.1303711659998044
50,test_050_id_mixed,mixed,8,B_frozen_static_greedy,15059.105054507141,0.11524304199974722
50,test_050_id_mixed,mixed,8,D_frozen_static_best_of_64,15120.42025107147,1.6923990889999914
50,test_050_id_mixed,mixed,8,C_rich_generalist_e2e_best_of_64,15176.48082788285,1.1336965219998092
51,test_051_id_boost_only,boost_only,9,B_frozen_static_greedy,15547.853803492744,0.1085466389999965
51,test_051_id_boost_only,boost_only,9,D_frozen_static_best_of_64,15551.957803492744,1.7292319539997152
51,test_051_id_boost_only,boost_only,9,C_rich_generalist_e2e_best_of_64,15556.284853589295,1.1137100539999665
52,test_052_id_suppress_only,suppress_only,19,B_frozen_static_greedy,14847.566563945722,0.06304357899989554
52,test_052_id_suppress_only,suppress_only,19,D_frozen_static_best_of_64,14912.347469230477,1.5130849779998243
52,test_052_id_suppress_only,suppress_only,19,C_rich_generalist_e2e_best_of_64,14909.45905046419,0.8849354139997558
53,test_053_id_concentrated,concentrated,9,B_frozen_static_greedy,17180.891623261537,0.11526971000012054
53,test_053_id_concentrated,concentrated,9,D_frozen_static_best_of_64,17632.911174939505,1.7254738689998703
53,test_053_id_concentrated,concentrated,9,C_rich_generalist_e2e_best_of_64,20022.034496685526,1.1190009739998459
54,test_054_id_distributed,distributed,8,B_frozen_static_greedy,14307.28475685054,0.1097592020000775
54,test_054_id_distributed,distributed,8,D_frozen_static_best_of_64,14347.036088150531,1.704255916999955
54,test_054_id_distributed,distributed,8,C_rich_generalist_e2e_best_of_64,14421.009127791773,1.1697967049999534
55,test_055_id_no_shock,no_shock,20,B_frozen_static_greedy,15476.166500000003,0.06174766799995268
55,test_055_id_no_shock,no_shock,20,D_frozen_static_best_of_64,15476.166500000003,1.4168610410001747
55,test_055_id_no_shock,no_shock,20,C_rich_generalist_e2e_best_of_64,15472.606500000002,0.864858885999638
56,test_056_id_mixed,mixed,24,B_frozen_static_greedy,21698.463968169362,0.04490287799990256
56,test_056_id_mixed,mixed,24,D_frozen_static_best_of_64,21796.636732011593,1.3895316460002505
56,test_056_id_mixed,mixed,24,C_rich_generalist_e2e_best_of_64,21581.639421091313,0.7805385060000845
57,test_057_id_boost_only,boost_only,13,B_frozen_static_greedy,20677.22128619057,0.08960757300019395
57,test_057_id_boost_only,boost_only,13,D_frozen_static_best_of_64,20938.15249287587,1.595273575000192
57,test_057_id_boost_only,boost_only,13,C_rich_generalist_e2e_best_of_64,22388.629271559115,1.0479534610003611
58,test_058_id_suppress_only,suppress_only,24,B_frozen_static_greedy,15476.166500000003,0.04659586900015711
58,test_058_id_suppress_only,suppress_only,24,D_frozen_static_best_of_64,15476.166500000003,1.33909139699972
58,test_058_id_suppress_only,suppress_only,24,C_rich_generalist_e2e_best_of_64,15472.606500000002,0.768277266000041
59,test_059_id_concentrated,concentrated,23,B_frozen_static_greedy,15476.166500000003,0.04804137899964189
59,test_059_id_concentrated,concentrated,23,D_frozen_static_best_of_64,15476.166500000003,1.359852717999729
59,test_059_id_concentrated,concentrated,23,C_rich_generalist_e2e_best_of_64,15833.198288619373,0.7858714660001169
60,test_060_id_distributed,distributed,26,B_frozen_static_greedy,15476.166500000003,0.0371040299996821
60,test_060_id_distributed,distributed,26,D_frozen_static_best_of_64,15476.166500000003,1.371443396000359
60,test_060_id_distributed,distributed,26,C_rich_generalist_e2e_best_of_64,15516.68763499318,0.7310505219998049
61,test_061_id_no_shock,no_shock,25,B_frozen_static_greedy,15476.166500000003,0.04099670100004005
61,test_061_id_no_shock,no_shock,25,D_frozen_static_best_of_64,15476.166500000003,1.37847309999961
61,test_061_id_no_shock,no_shock,25,C_rich_generalist_e2e_best_of_64,15472.606500000002,0.7620480730001873
62,test_062_id_mixed,mixed,11,B_frozen_static_greedy,21208.48724682814,0.09689833199990971
62,test_062_id_mixed,mixed,11,D_frozen_static_best_of_64,21337.483976673786,1.6267081080000025
62,test_062_id_mixed,mixed,11,C_rich_generalist_e2e_best_of_64,24148.858557468975,1.048298240999884
63,test_063_id_boost_only,boost_only,26,B_frozen_static_greedy,15476.166500000003,0.03716861600014454
63,test_063_id_boost_only,boost_only,26,D_frozen_static_best_of_64,15476.166500000003,1.3278479549999247
63,test_063_id_boost_only,boost_only,26,C_rich_generalist_e2e_best_of_64,15895.003525173765,0.7152715030001673
64,test_064_id_suppress_only,suppress_only,23,B_frozen_static_greedy,14524.55559253558,0.04822971500016138
64,test_064_id_suppress_only,suppress_only,23,D_frozen_static_best_of_64,14524.55559253558,1.3875275129998954
64,test_064_id_suppress_only,suppress_only,23,C_rich_generalist_e2e_best_of_64,14445.933171989034,0.7987093389997426
65,test_065_id_concentrated,concentrated,26,B_frozen_static_greedy,15476.166500000003,0.03717137800003911
65,test_065_id_concentrated,concentrated,26,D_frozen_static_best_of_64,15476.166500000003,1.2897512859999551
65,test_065_id_concentrated,concentrated,26,C_rich_generalist_e2e_best_of_64,16113.120180261518,0.700697812999806
66,test_066_id_distributed,distributed,9,B_frozen_static_greedy,15657.607988626638,0.11635203800005911
66,test_066_id_distributed,distributed,9,D_frozen_static_best_of_64,15821.836463810443,1.6844280229997821
66,test_066_id_distributed,distributed,9,C_rich_generalist_e2e_best_of_64,15855.542374113405,1.10527734399966
67,test_067_id_no_shock,no_shock,21,B_frozen_static_greedy,15476.166500000003,0.056051200999718276
67,test_067_id_no_shock,no_shock,21,D_frozen_static_best_of_64,15476.166500000003,1.3863181289998465
67,test_067_id_no_shock,no_shock,21,C_rich_generalist_e2e_best_of_64,15472.606500000002,0.8161632049996115
68,test_068_id_mixed,mixed,21,B_frozen_static_greedy,15361.209888101148,0.06840045199987799
68,test_068_id_mixed,mixed,21,D_frozen_static_best_of_64,15361.209888101148,1.5210149839999758
68,test_068_id_mixed,mixed,21,C_rich_generalist_e2e_best_of_64,15474.153468199416,0.8491368089999014
69,test_069_id_boost_only,boost_only,19,B_frozen_static_greedy,17783.92858033543,0.06260500600001251
69,test_069_id_boost_only,boost_only,19,D_frozen_static_best_of_64,17972.89169355356,1.4370185950001542
69,test_069_id_boost_only,boost_only,19,C_rich_generalist_e2e_best_of_64,18635.13120579321,0.8815556150002521
70,test_070_ood_rank_flip,ood_rank_flip,12,B_frozen_static_greedy,10748.198614231766,0.09142962899977647
70,test_070_ood_rank_flip,ood_rank_flip,12,D_frozen_static_best_of_64,10857.45248240992,1.589968823000163
70,test_070_ood_rank_flip,ood_rank_flip,12,C_rich_generalist_e2e_best_of_64,15488.014873729784,1.0146439609998197
71,test_071_ood_extreme_single_boost,ood_extreme_single_boost,20,B_frozen_static_greedy,15476.166500000003,0.060062799000206724
71,test_071_ood_extreme_single_boost,ood_extreme_single_boost,20,D_frozen_static_best_of_64,15476.166500000003,1.434576232999916
71,test_071_ood_extreme_single_boost,ood_extreme_single_boost,20,C_rich_generalist_e2e_best_of_64,16396.09805350341,0.8402474200001961
72,test_072_ood_top_reward_collapse,ood_top_reward_collapse,7,B_frozen_static_greedy,9244.054655740312,0.11691438600018955
72,test_072_ood_top_reward_collapse,ood_top_reward_collapse,7,D_frozen_static_best_of_64,9570.084332860459,1.7480643519998011
72,test_072_ood_top_reward_collapse,ood_top_reward_collapse,7,C_rich_generalist_e2e_best_of_64,11197.42892365952,1.2270996409997679
73,test_073_ood_high_cost_boost,ood_high_cost_boost,18,B_frozen_static_greedy,19896.228679977507,0.07231489700006932
73,test_073_ood_high_cost_boost,ood_high_cost_boost,18,D_frozen_static_best_of_64,19972.047872628253,1.5000179079997906
73,test_073_ood_high_cost_boost,ood_high_cost_boost,18,C_rich_generalist_e2e_best_of_64,20067.516494764157,0.898400226999911
74,test_074_ood_budget_reallocation,ood_budget_reallocation,12,B_frozen_static_greedy,15154.154835980928,0.09785146400008671
74,test_074_ood_budget_reallocation,ood_budget_reallocation,12,D_frozen_static_best_of_64,15288.98901407899,1.6128882619996148
74,test_074_ood_budget_reallocation,ood_budget_reallocation,12,C_rich_generalist_e2e_best_of_64,17377.143340794977,1.1391411559998232
75,test_075_ood_rank_flip,ood_rank_flip,16,B_frozen_static_greedy,10370.44778244881,0.07642376800004058
75,test_075_ood_rank_flip,ood_rank_flip,16,D_frozen_static_best_of_64,10485.772953535085,1.5446747219998542
